FIRM NAME;Special Rules;Do Accts Mirror Each Other (Like Titled)?;Is the Acct a Trust or is this a Rollover?;Does the Acct hold an annuity or insurance product?;OUTPUT (if firm and answers to questions meet rules)
A G Edwards; ;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
ABN Ambro;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Adams Harkness & Hill;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
ADP Clearing; ;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Advantage;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Allen & Co  (Florida); ;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Allen & Co  (New York); ;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Alliant Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Alpine;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
American General Securities Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
AmSouth Investment Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Baer;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Baird & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Bank of America;Is this a personal bank acct holding a CD?;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);if yes, print & mail.  If no, docusign eligible
Barclays Capital Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Barron & Associates Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Berthel Fisher;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Bidwell;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Blue Creek Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Brinker;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
BrokersXpress   ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Brown Brothers                                         ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Butler Wick & Co ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
C L King;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Cambridge Investment Research;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Cantor;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Capital Analysis Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Capital Securities of America;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Captrust;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Charles Schwab;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Citigroup (Smith Barney);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
City National;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
City Securities, LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Commerce Capital Markets;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
CommerzBank;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Commonwealth Financial Network;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Comprehensive Asset Management Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Computer Clearing Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Cornerstone;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Credit Suisse First Boston;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Crews & Associates, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Crowell Weedon & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Curian Clearing;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Cutter & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
D A Davidson;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Daiwa Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Davenport & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
David Lerner;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Delaware MTC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Deutsche Bank;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Diament;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
DM Kelly & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Dreyfus;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
e*Trade   ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
EA Invest Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Edward Jones;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Emmett Larkin;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Equitas America LLC;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Fagenson;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Fahnestock (Oppenheimer & Co);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Ferris Baker Watts;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Fidelity Investments;9 Characters with ALL #s or first digit as a letter?;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);If yes, docusign eligible.  If no, print & mail.
Fifth 3rd Bank/Securities;9 Characters in the acct #?;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);If yes, docusign eligible.  If no, print & mail.
Financial Network;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Albany;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Clearing Corp;8 Characters in the acct #?;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);If yes, docusign eligible.  If no, print & mail.
First Commonwealth;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Global Capital Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Manhattan;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First National Bank of Omaha;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Options of Chicago;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Southwest Clearing;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
First Wallstreet Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Firstrade Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Fiserv;12 numbers in the acct #?;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);if yes, print & mail.  If no, docusign eligible
Foliofn       ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Fred Alger;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Fried;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
FSC Securities Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Geneos Wealth Management;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Genesis Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
George K Baum;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Girard Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Goldman Sachs;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Goldman Sachs Execution & Clearing, LP;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Gordon & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Gordon Haskett Capital Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Great American Advisors, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
GunnAllen Financial;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Guss;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
H C Denison & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
H G Wellington;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
H M Payson;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Harris Direct;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Harris Investor Line;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
HD Vest;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Herzog, Heine, Geduld, Inc;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
HFI Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Hillard Lyons;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Howe Barnes Investments;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
HSBC Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Huntleigh Securities                ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
HybridTrading;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Ingalls & Snyder;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Instinet;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Interactive Brokers                                  ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Invest Financial;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Investors Capital;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Janney Montgomery Scott;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
JB Hanauer;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Jefferies & Co;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Jefferson Pilot Financial;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Jeffery Matthews Financial Network;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Jessup & Lamont;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
JP Turner;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
KMS Financial Services;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Koonce Secs;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Kovack Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
LaBranche Financial;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Lazard Freres;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Legacy Trust           ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Legent Clearing ;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Liberty Capital Investment Corp;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Liberty Partners;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Lincoln Financial Advisors;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Lincoln Financial Securities;;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
Linsco Private Ledger  (LPL);;Yes         (See Decision Table and Process Flow from Reqs doc.);No         (See Decision Table and Process Flow from Reqs doc);No       (See Decision Table and Process Flow from Reqs doc);docusign eligible
